Id,Name,Tax category,Created at,Updated at,Organization,Uuid
2186,El Refugio de Mou Bar & Grill,3,2025-02-28 23:23:41 UTC,2025-02-28 23:23:41 UTC,1,chin_339e6eaa-fc22-46b9-a423-8acdb21247e5
2185,Benjamin Moore Paints,5,2025-02-28 23:22:37 UTC,2025-02-28 23:22:37 UTC,1,chin_a8858f0c-6114-47e3-ac7d-9a0f9e5498f5
2184,Restaurante Las Cataratas,3,2025-02-28 23:20:31 UTC,2025-02-28 23:20:31 UTC,1,chin_0c8a723e-330c-4238-898f-ee09232d0530
2183,Fatburger & Buffalo's Express,3,2025-02-28 23:19:59 UTC,2025-02-28 23:19:59 UTC,1,chin_228637c5-0640-4e82-a1f3-6dc5cd011bfe
2182,Marble Slab Creamery,3,2025-02-28 23:19:28 UTC,2025-02-28 23:19:28 UTC,1,chin_ad3686dc-f0e7-47f2-ae7c-54a581f6d3ea
2181,Fika Coffee & Brunch,7,2025-02-28 16:49:11 UTC,2025-02-28 16:49:11 UTC,2,chin_819f9330-bbd5-45d1-b1fc-370fe900aa23
2180,Smash Room Panama,7,2025-02-28 16:48:27 UTC,2025-02-28 16:48:27 UTC,2,chin_8dde1670-5133-46a5-86f6-fccd46978067
2179,Farmacia Kairos,5,2025-02-27 23:07:02 UTC,2025-02-27 23:07:02 UTC,1,chin_89326c98-ddc2-4fcb-957c-9b71966dc056
2178,YE Shape,5,2025-02-27 23:06:43 UTC,2025-02-27 23:06:43 UTC,1,chin_eed35b63-2ea6-4998-9284-3d9ae992714b
2177,Chava's Coffee & Bar,3,2025-02-27 23:05:09 UTC,2025-02-27 23:05:09 UTC,1,chin_5e276d52-5b39-4dae-a4eb-2f0af47ea574
2176,Murat Spa Express Studio,5,2025-02-27 23:04:42 UTC,2025-02-27 23:04:42 UTC,1,chin_4380132f-94d5-4fc6-ac2b-e78274230041
2175,Loop Experience PR,5,2025-02-25 15:19:25 UTC,2025-02-25 15:19:25 UTC,1,chin_ace414bb-d0fb-408a-bdf9-892174a49cc4
